MeterNumber	Street	BlockLimits	StandardizedAddress	SegmentID	StreetCode	Side	Dist	Manufacturer	Model	Rate	DayFrom	DayTo	HourFrom	HourTo	HourLimit	MinLimit	DateInstlaled	Timer	ST
12F023	N 9	201	201 N 09TH ST	440989	87970	E	12	METRIC	P&D	2	SUN	SAT	0800A	0400P	2		12/16/2009	24HR	"I																			"
12F023	N 9	201	201 N 09TH ST	440989	87970	E				2	SUN	SAT	0400P	1000P	3	"					"	"										"	"				"	"I																			"
12F024	RACE	800	800 RACE ST	440864	67120	S	12	METRIC	P&D	2	SUN	SAT	0800A	0400P	2		12/17/2009	24HR	"R																			"
12F024	RACE	800	800 RACE ST	440864	67120	S				2	SUN	SAT	0400P	1000P	3	"					"	"										"	"				"	"R																			"
12F025	RACE	800	800 RACE ST	440864	67120	S	12	METRIC	P&D	2	SUN	SAT	0800A	0400P	2		12/17/2009	24HR	"I																			"
12F025	RACE	800	800 RACE ST	440864	67120	S				2	SUN	SAT	0400P	1000P	3	"					"	"										"	"				"	"I																			"
12F028	RACE	501	501 RACE ST	441217	67120	N	12	METRIC	P&D	1.25	SUN	SAT	0700A	0700P	12		12/17/2009	24HR	"I																			"
12F029	N 5	101	101 N 05TH ST	-1	87890	E	12	METRIC	P&D	1.25	SUN	SAT	0800A	0800P	4		12/17/2009	24HR	"I																			"
12F030	N 4	200	200 N 04TH ST	441391	87870	W	12	METRIC	P&D	2	MON	SAT	0800A	0630P	2		12/18/2009	24HR	"I																			"
12F031	RACE	300	300 RACE ST	440928	67120	S	12	METRIC	P&D	2	MON	SAT	0800A	0630P	3		12/17/2009	24HR	"I																			"
12F032	RACE	300	300 RACE ST	440928	67120	S	12	METRIC	P&D	2	MON	SAT	0800A	0630P	3		12/17/2009	24HR	"I																			"
12F033	N 3	200	200 N 03RD ST	423034	87850	W	12	METRIC	P&D	2	MON	FRI	0930A	0400P	2		12/29/2009	24HR	"I																			"
12F033	N 3	200	200 N 03RD ST	423034	87850	W	12	METRIC	P&D	2	SAT	SAT	0800A	0630P	1		12/29/2009	24HR	"I																			"
12F034	N 3	200	200 N 03RD ST	423034	87850	W	12	METRIC	P&D	2	MON	FRI	0930A	0400P	2		12/29/2009	24HR	"I																			"
12F034	N 3	200	200 N 03RD ST	423034	87850	W	12	METRIC	P&D	2	SAT	SAT	0800A	0630P	1		12/29/2009	24HR	"I																			"
12F035	N 3	201	201 N 03RD ST	423034	87850	E	12	METRIC	P&D	2	MON	SAT	0800A	0630P	2		12/29/2009	24HR	"I																			"
12F036	N 3	201	201 N 03RD ST	423034	87850	E	12	METRIC	P&D	1.5	MON	SAT	0800A	0630P	2		12/29/2009	24HR	"I																			"
12F037	RACE	200	200 RACE ST	440930	67120	S	12	METRIC	P&D	2	MON	SAT	0800A	0630P	3		12/29/2009	24HR	"I																			"
12F038	RACE	200	200 RACE ST	440930	67120	S	12	METRIC	P&D	2	MON	SAT	0800A	0630P	3		12/29/2009	24HR	"I																			"
12F039	RACE	200	200 RACE ST	440930	67120	S	12	METRIC	P&D	2	MON	SAT	0800A	0630P	3		12/29/2009	24HR	"I																			"
12F040	RACE	401	401 RACE ST	440926	67120	N	12	METRIC	P&D	2	MON	SAT	0800A	0800P	3		11/19/2010	24HR	"I																			"
12F042	RACE	1300	1300 RACE ST	440857	67120	S	41C	METRIC	P&D	2	SUN	SAT	0800A	0400P	2		3/1/2011	24HR	"I																			"
12F042	RACE	1300	1300 RACE ST	440857	67120	S				2	SUN	SAT	0400P	1000P	3	"					"	"										"	"				"	"I																			"
12F043	RACE	1300	1300 RACE ST	440857	67120	S	41C	METRIC	P&D	2	SUN	SAT	0800A	0400P	2		3/1/2011	24HR	"I																			"
12F043	RACE	1300	1300 RACE ST	440857	67120	S				2	SUN	SAT	0400P	1000P	3	"					"	"										"	"				"	"I																			"
12F044	RACE	1300	1300 RACE ST	440857	67120	S	41C	METRIC	P&D	2	SUN	SAT	0800A	0400P	2		3/1/2011	24HR	"I																			"
12F044	RACE	1300	1300 RACE ST	440857	67120	S				2	SUN	SAT	0400P	1000P	3	"					"	"										"	"				"	"I																			"
1229001	N 13	200	200 N 13TH ST	440972	88050	W	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	1HR	"I																			"
1229002	N 13	200	200 N 13TH ST	440972	88050	W	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	1HR	"R																			"
1229003	N 13	200	200 N 13TH ST	440972	88050	W	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	1HR	"R																			"
1229004	N 13	200	200 N 13TH ST	440972	88050	W	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	1HR	"R																			"
1229005	N 13	200	200 N 13TH ST	440972	88050	W	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	1HR	"R																			"
1229006	N 13	200	200 N 13TH ST	440972	88050	W	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	1HR	"R																			"
1229007	N 13	200	200 N 13TH ST	440972	88050	W	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	1HR	"R																			"
1229008	N 13	200	200 N 13TH ST	440972	88050	W	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	1HR	"R																			"
1229009	N 13	200	200 N 13TH ST	440972	88050	W	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	1HR	"R																			"
1229015	SUMMER	1201	1201 SUMMER ST	440961	75400	N	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	1HR	"I																			"
1229016	SUMMER	1201	1201 SUMMER ST	440961	75400	N	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	2HR	"I																			"
1229017	SUMMER	1201	1201 SUMMER ST	440961	75400	N	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	2HR	"I																			"
1229018	SUMMER	1201	1201 SUMMER ST	440961	75400	N	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	2HR	"I																			"
1229019	SUMMER	1201	1201 SUMMER ST	440961	75400	N	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	2HR	"I																			"
1229020	SUMMER	1201	1201 SUMMER ST	440961	75400	N	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	2HR	"I																			"
1229021	SUMMER	1201	1201 SUMMER ST	440961	75400	N	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	2HR	"I																			"
1229022	SUMMER	1201	1201 SUMMER ST	440961	75400	N	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	2HR	"I																			"
1229023	SUMMER	1201	1201 SUMMER ST	440961	75400	N	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	2HR	"I																			"
1229024	SUMMER	1201	1201 SUMMER ST	440961	75400	N	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	2HR	"I																			"
1229027	SUMMER	1201	1201 SUMMER ST	440961	75400	N	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	2HR	"I																			"
1229028	SUMMER	1201	1201 SUMMER ST	440961	75400	N	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	1HR	"I																			"
1229029	SUMMER	1201	1201 SUMMER ST	440961	75400	N	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	2HR	"I																			"
1229030	SUMMER	1201	1201 SUMMER ST	440961	75400	N	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	2HR	"I																			"
1229031	SUMMER	1201	1201 SUMMER ST	440961	75400	N	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	2HR	"I																			"
1229032	SUMMER	1201	1201 SUMMER ST	440961	75400	N	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	2HR	"I																			"
1229035	N 12	200	200 N 12TH ST	440988	88030	W	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	1HR	"R																			"
1229036	N 12	200	200 N 12TH ST	440988	88030	W	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	1HR	"R																			"
1229037	N 12	200	200 N 12TH ST	440988	88030	W	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	1HR	"R																			"
1229038	N 12	200	200 N 12TH ST	440988	88030	W	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	1HR	"R																			"
1229039	N 12	200	200 N 12TH ST	440988	88030	W	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	1HR	"R																			"
1229040	N 12	200	200 N 12TH ST	440988	88030	W	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	1HR	"R																			"
1229043	N 12	200	200 N 12TH ST	440988	88030	W	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	1HR	"R																			"
1229044	N 12	200	200 N 12TH ST	440988	88030	W	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	1HR	"R																			"
1229045	N 12	200	200 N 12TH ST	440988	88030	W	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	1HR	"R																			"
1229046	N 12	200	200 N 12TH ST	440988	88030	W	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	1HR	"R																			"
1229047	N 12	200	200 N 12TH ST	440988	88030	W	12	D-E	80	2	MON	SAT	0800A	0800P	1		1/1/1982	1HR	"R																			"
1229050	N 11	201	201 N 11TH ST	441365	88010	E	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"I																			"
1229051	N 11	201	201 N 11TH ST	441365	88010	E	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229052	N 11	201	201 N 11TH ST	441365	88010	E	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229053	N 11	201	201 N 11TH ST	441365	88010	E	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229054	N 11	201	201 N 11TH ST	441365	88010	E	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229055	N 11	201	201 N 11TH ST	441365	88010	E	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229056	N 11	201	201 N 11TH ST	441365	88010	E	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229057	N 11	201	201 N 11TH ST	441365	88010	E	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229058	N 11	201	201 N 11TH ST	441365	88010	E	12	D-E-HP	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"I																			"
1229059	N 11	201	201 N 11TH ST	441365	88010	E	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229060	N 11	201	201 N 11TH ST	441365	88010	E	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229065	N 10	200	200 N 10TH ST	440943	87990	W	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229066	N 10	200	200 N 10TH ST	440943	87990	W	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229067	N 10	200	200 N 10TH ST	440943	87990	W	12	D	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229068	N 10	200	200 N 10TH ST	440943	87990	W	12	D	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229069	N 10	200	200 N 10TH ST	440943	87990	W	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229070	N 10	200	200 N 10TH ST	440943	87990	W	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"I																			"
1229071	N 10	200	200 N 10TH ST	440943	87990	W	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229072	N 10	200	200 N 10TH ST	440943	87990	W	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"I																			"
